199,Forrester Road,EH12 8AE,55.9444782,-3.2847275,15
200,Burdiehouse Street,EH17 8HA,55.8968439,-3.1562928,16
201,Blinkbonny Grove West,EH4 3HJ,55.9551788,-3.2420393,4
202,Kingsknowe Terrace,EH14 2JJ,55.9174013,-3.2621945,10
203,Nicolson Street,EH8 9DE,55.9455566,-3.1846324,17
204,South Lauder Road,EH9 2LJ,55.9307846,-3.1820111,17
205,Durham Drive,EH15 1PQ,55.943939,-3.1207926,11
206,Pentland View,EH10 6PS,55.9080028,-3.212966,5
207,Wester Drylaw Avenue,EH4 2UE,55.9636336,-3.2516393,4
208,Main Street Ratho,EH28 8RB,55.9220141,-3.3791269,10
209,Saughton Park,EH12 5TQ,55.9412729,-3.2533495,15
210,Leamingston Terrace,EH10 4JL,55.9390276,-3.2078757,3
211,Boswall Terrace,EH5 2EL,55.9741513,-3.2221914,7
212,Carrick Knowe Road,EH12 7BL,55.9342475,-3.2720595,15
213,Elliot Place,EH13 0PN,55.9152287,-3.2420967,5
214,Craigcrook Terrace ,EH4 3PJ,55.9558668,-3.2602162,4
215,Granton Crescent,EH5 1BL,55.9796738,-3.2260536,7
216,Duddingston Rd West,EH15 3QE,55.9398973,-3.1448679,1
217,Gullans Close,EH8 8JW,55.9499368,-3.1829239,6
218,Roull Place,EH12 7JS,55.9359155,-3.2813623,15
219,East Farm Of Gilmerton,EH17 8TG,55.9058624,-3.1297181,16
220,Mearenside,EH12 8UQ,55.9508057,-3.3066978,9
221,Gogarloch Bank,EH12 9LA,55.9359962,-3.3015766,9
222,Salamander Yards ,EH6 7HB,55.9719654,-3.154419,8
223,Pennywell Gardens,EH4 4NX,55.9722232,-3.256968,7
224,Promenade Portobello,EH15 2EE,55.9522643,-3.1042156,11
225,Greenend Drive,EH17 7QG,55.9134873,-3.1504382,16
226,Redbraes Place,EH7 4LL,55.9687281,-3.1877647,12
227,Granton Gardens,EH5 1AX,55.9768903,-3.2226865,7
228,Silverknowes Avenue,EH4 5HU,55.9681971,-3.2744179,14
229,Parkside,EH16 5XJ,55.9416094,-3.1733662,17
230,Inverleith Terrace Grove,EH3 5NP,55.9632978,-3.2030013,4
231,Campbell Road,EH12 6DT,55.9491625,-3.2471523,15
232,Park Crescent,EH16 6JD,55.9133386,-3.1578508,16
233,Arthur Street Lane,EH6 5DR,55.9648357,-3.1784584,12
234,Longcrook,EH1 3EG,55.953252,-3.188267,6
235,New Mart Place,EH14 1TX,55.9281552,-3.2492688,2
236,Findhorn Place,EH9 2NS,55.933789,-3.1801299,17
237,Dalgety Avenue,EH7 5UE,55.9579208,-3.1621618,1
238,Buckstone Hill,EH10 6TH,55.9086686,-3.2015727,5
239,Belvedere Park,EH6 4LR,55.9781189,-3.1964541,7
240,Willowbrae Road,EH8 7JD,55.9507115,-3.1409042,1
241,Parkhead Gardens,EH11 4SQ,55.9239762,-3.2763822,13
242,West Craigs Crescent,EH12 8LY,55.941637,-3.3145425,9
243,Whitehorse Close,EH99 1SP,55.9527542,-3.1756988,6
