Hillview Crescent,EH12 8QF,55.9475673,-3.2879445
Beresford Place,EH5 3SL,55.975353,-3.2037314
Kirk Cramond,EH4 6NS,55.9781653,-3.2995667
Piershill Lane,EH8 7EJ,55.9546384,-3.1478688
Craigleith Hill,EH4 2EG,55.9568962,-3.2384128
Western Gardens,EH12 5QD,55.9447673,-3.2482319
Waterloo Place,EH1 3EG,55.953252,-3.188267
Moredun Dykes Road,EH17 8PT,55.9059501,-3.1380525
Wardie House Lane,EH5 3RL,55.9795937,-3.213892
Wester Hailes Park,EH14 3AG,55.9137886,-3.2783014
Marshall Street,EH8 9BJ,55.94574009999999,-3.1866497
Church Hill Place,EH10 4BD,55.9321571,-3.2094347
Craigmount Loan,EH12 8DJ,55.9506819,-3.2991709
Wolrige Road,EH16 6HX,55.91487249999999,-3.1637904
Riselaw Crescent,EH10 6HN,55.9127749,-3.2112559
Ferry Road Place,EH4 4AX,55.96830319999999,-3.2460188
Comiston Drive,EH10 5QS,55.9202418,-3.2169675
Alderbank Terrace,EH11 1SZ,55.9312623,-3.2323928
Hillend Place,EH8 7AE,55.9548893,-3.1513231
Swanston Road,EH10 7DT,55.887753,-3.217244
Upper Dean Terrace,EH4 1NU,55.9559696,-3.211505
Southfield Terrace,EH15 1RE,55.943412,-3.1290636
High Street,EH1 1RW,55.94972929999999,-3.1894111
Cavalry Park Drive,EH15 3QG,55.94119209999999,-3.1403515
Echline Place,EH30 9XB,55.986966,-3.4127196
Grassmarket,EH1 2LJ,55.9475383,-3.1962969
Baird Avenue,EH12 5RU,55.9403003,-3.249547
Balgreen Gardens,EH12 5UG,55.9414003,-3.2583477
South Steil,EH10 5XF,55.9169792,-3.2272856
Saint Andrew Square,EH2 2LL,55.9542321,-3.1936847
