Recorded,StreetName,dog_foul,vandalism,graffiti,weeds,detritus,fly_posting,bin_count,number_overflowing,smoking,drinks,confectionary,fast_food,pedestrian_individual,business,domestic,construction,animal_faeces,other
24/06/2008,Moredun Park Loan,1,1,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Hyvot Green,1,1,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0
24/06/2008,Alnwickhill Grove,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24/06/2008,Greenmantle Loan,1,1,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0
24/06/2008,Jean Armour Avenue,1,1,1,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,Priestfield Gardens,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,St Margarets Road,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,Livingstone Place,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
11/06/2008,Ravelston Terrace,1,1,1,2,2,1,0,0,1,1,1,1,1,0,0,1,0,1
11/06/2008,Blinkbonny Grove,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2008,Craigleithhill Green,1,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1
11/06/2008,Craigcrook Gardens,1,1,1,3,2,1,0,0,1,0,1,1,1,0,0,0,0,0
11/06/2008,Hill Park Green,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2008,March Pines,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2008,Wardie Road,1,1,1,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0
11/06/2008,Wardie Steps,1,1,1,4,3,1,0,0,1,1,1,1,1,1,1,0,1,0
11/06/2008,Corbiehill Terrace,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
11/06/2008,Easter Drylaw Gardens,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0
11/06/2008,Pennywell Grove,2,1,1,3,2,1,0,0,1,1,1,1,1,0,1,0,1,0
