119,Salvesen Street,EH4 5JX,7,55.9754122,-3.2554493,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
120,Craighouse Avenue,EH10 5LN,3,55.9240201,-3.2228475,15/10/2010,3,2,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0
121,Strachan Gardens,EH4 3RY,4,55.957944,-3.2611173,02/02/2011,3,1,1,1,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0
122,Burnets Close,EH1 1QU,6,55.9497514,-3.1889794,,1,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
123,West Werberside,EH4 1SX,4,55.9671532,-3.2301019,26/06/2010,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
124,Kerr Street,EH3 6EG,4,55.957626,-3.2080435,21/10/2008,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
125,Academy Street,EH6 7EF,8,55.9705437,-3.1700379,29/04/2010,2,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
126,Meadowfield Gardens,EH8 7NT,1,55.9441421,-3.1425291,09/10/2008,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
127,Stuart Wynd,EH12 8XU,9,55.9488362,-3.3035919,27/01/2011,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
128,St Leonards Bank,EH8 9SQ,17,55.9429464,-3.1763184,23/06/2010,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
129,Carmel Road,EH29 9DD,14,55.9552028,-3.4087083,27/01/2010,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
130,Rowantree Grove,EH14 5AT,10,55.8936329,-3.3246973,05/09/2008,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0
131,Seacot,EH6 7QG,8,55.9682664,-3.1501905,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
132,Redford Walk,EH13 0AG,5,55.9064085,-3.2430596,09/09/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
133,Currievale Drive,EH14 5RP,10,55.89691,-3.3240963,09/09/2009,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
134,Alnwickhill Grove,EH16 6YA,16,55.9052456,-3.1712442,24/06/2008,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
135,Deanpark Court,EH14 7EG,10,55.879687,-3.3453398,10/06/2010,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
136,Corstorphine House Terrace,EH12 7AD,15,55.9415224,-3.2799596,24/06/2010,3,1,1,1,3,3,1,0,0,1,0,1,0,1,0,0,0,0,0
137,Browns Place,EH1 2HX,6,55.9465744,-3.1969364,12/05/2008,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
138,Brandon Street,EH3 5DX,4,55.9613423,-3.2014541,30/06/2009,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
139,Carricknowe Loan,EH12 7DZ,15,55.9345272,-3.2747056,17/06/2008,3,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,1
140,Woodhall Avenue0,EH14 5BU,10,55.9057712,-3.2819139,10/06/2010,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
141,Figgate Street,EH15 1JQ,11,55.9545187,-3.1152819,16/06/2010,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
142,Grove Street,EH3 8FF,2,55.9445293,-3.2120024,18/09/2008,2,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0
143,Annandale Street Lane,EH7 4LS,12,55.96098,-3.1824581,26/06/2010,2,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
144,Corstorphine Hill Avenue,EH12 6LF,15,55.9463785,-3.2767827,24/06/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
145,Coben Road,EH9 2BJ,17,55.9324681,-3.1709715,15/10/2010,3,1,1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
146,Bruntsfield Place,EH10 4HG,3,55.9376375,-3.2061149,18/08/2008,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
147,Brunstane Crescent,EH15 2NX,11,55.9440469,-3.0921491,24/06/2008,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
148,Richmond Place,EH8 9ST,17,55.9464663,-3.1833126,16/12/2008,2,1,1,1,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0
149,Moredun Park Court,EH17 7EY,16,55.9129876,-3.1396709,22/02/2011,3,1,1,1,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0
150,Foulis Crescent ,EH14 5BN,10,55.9063908,-3.2802562,17/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
151,Woodhall Drive,EH14 5BT,10,55.9045517,-3.2846968,11/02/2011,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
152,Clarebank Crescent,EH6 7NJ,8,55.968258,-3.1567154,16/12/2009,3,1,1,1,2,2,1,0,0,1,1,1,0,1,1,0,0,0,0
