Bell Place,14/12/2008,2,1,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1
Chesser Crescent,11/02/2011,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Glenallan Drive,17/12/2009,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Brae Park,27/10/2009,3,1,1,1,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0
Coillsdene Loan,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Park Terrace,09/01/2009,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Muirwood Road,05/09/2008,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Parkhead View,14/04/2010,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Craiglockhart Crescent,22/02/2011,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Cameron Park,26/04/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Murrayfield Road,21/10/2008,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Bread Street Lane,24/06/2009,1,1,1,1,3,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Rillbank Crescent,,2,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Spittal Street,09/06/2010,1,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Dalkeith Road,08/09/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Drum Brae Gardens,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Gladstone Place,16/12/2009,3,1,1,1,1,3,2,0,0,1,1,1,0,1,0,0,0,0,0
Gorgie Cottages,27/01/2009,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Forkenford,05/02/2011,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bonnington Avenue,29/04/2010,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1
Mcleod Street,08/06/2010,2,1,1,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0
Durar Drive,03/09/2008,3,1,1,1,2,2,1,0,0,1,1,1,1,1,0,1,0,0,0
Kyle Place,28/10/2010,2,1,1,2,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Fairbrae,10/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Westfield Court,09/09/2009,2,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Meadowbank Terrace,26/10/2010,2,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Albany Lane,22/02/2011,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Cammo Brae,27/01/2011,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
South Mellis Park,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Lasswade Road,23/06/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Silverknowes Court,18/08/2008,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Parkhead Loan,11/02/2011,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Riddles Close,19/09/2008,1,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Eildon Street,22/02/2011,3,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0
Rannoch Place,18/08/2008,3,1,1,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0
Thomson Grove,11/02/2011,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyside,24/06/2008,2,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
"Rosebery Avenue, South Queensferry",22/02/2011,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Whitingford,25/02/2009,3,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Newington Road,22/02/2011,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Liberton Road,15/10/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
House O'Hill Row,08/09/2009,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
