Burnets Close	EH1 1QU	11	55.9497514	-3.1889794	
West Werberside	EH4 1SX	5	55.9671532	-3.2301019	
Kerr Street	EH3 6EG	5	55.957626	-3.2080435	
Academy Street	EH6 7EF	13	55.9705437	-3.1700379	
Meadowfield Gardens	EH8 7NT	14	55.9441421	-3.1425291	
Stuart Wynd	EH12 8XU	3	55.9488362	-3.3035919	
St Leonards Bank	EH8 9SQ	15	55.9429464	-3.1763184	
Carmel Road	EH29 9DD	1	55.9552028	-3.4087083	
Rowantree Grove	EH14 5AT	2	55.8936329	-3.3246973	
Seacot	EH6 7QG	13	55.9682664	-3.1501905	
Redford Walk	EH13 0AG	8	55.9064085	-3.2430596	
Currievale Drive	EH14 5RP	2	55.89691	-3.3240963	
Alnwickhill Grove	EH16 6YA	16	55.9052456	-3.1712442	
Deanpark Court	EH14 7EG	2	55.879687	-3.3453398	
Corstorphine House Terrace	EH12 7AD	6	55.9415224	-3.2799596	
Browns Place	EH1 2HX	11	55.9465744	-3.1969364	
Brandon Street	EH3 5DX	5	55.9613423	-3.2014541	
Carricknowe Loan	EH12 7DZ	6	55.9345272	-3.2747056	
Woodhall Avenue0	EH14 5BU	2	55.9057712	-3.2819139	
Figgate Street	EH15 1JQ	17	55.9545187	-3.1152819	
Grove Street	EH3 8FF	9	55.9445293	-3.2120024	
Annandale Street Lane	EH7 4LS	12	55.96098	-3.1824581	
Corstorphine Hill Avenue	EH12 6LF	6	55.9463785	-3.2767827	
Coben Road	EH9 2BJ	15	55.9324681	-3.1709715	
Bruntsfield Place	EH10 4HG	10	55.9376375	-3.2061149	
Brunstane Crescent	EH15 2NX	17	55.9440469	-3.0921491	
Richmond Place	EH8 9ST	15	55.9464663	-3.1833126	
Moredun Park Court	EH17 7EY	16	55.9129876	-3.1396709	
Foulis Crescent 	EH14 5BN	2	55.9063908	-3.2802562	
Woodhall Drive	EH14 5BT	2	55.9045517	-3.2846968	
Clarebank Crescent	EH6 7NJ	13	55.968258	-3.1567154	
Haughhead Farm	EH1 3EG	11	55.953252	-3.188267	
Echline Gardens	EH30 9UT	1	55.9874239	-3.4145654	
North Street Ratho	EH28 8RR	2	55.9215719	-3.3842281	
Maxwell Street	EH10 5HU	10	55.9261476	-3.2119207	
Campbell Park Drive	EH13 0HS	8	55.9031289	-3.2711748	
Cleikiminrig	EH15 3QZ	17	55.9327371	-3.1099153	
Spa Place	EH15 1TR	17	55.9553703	-3.114449	
Bingham Avenue	EH15 3JB	17	55.9398464	-3.1223339	
Hillview Road	EH12 8QF	6	55.9475673	-3.2879445	
Beresford Place	EH5 3SL	4	55.975353	-3.2037314	
Kirk Cramond	EH4 6NS	1	55.9781653	-3.2995667	
Craigleith Hill	EH4 2EG	5	55.9568962	-3.2384128	
Western Terrace	EH12 5QD	6	55.9447673	-3.2482319	
Scotstoun Green Sq Ferry	EH1 3EG	11	55.953252	-3.188267	
Moredun Dykes Road	EH17 8PT	16	55.9059501	-3.1380525	
Wardie House Lane	EH5 3RL	4	55.9795937	-3.213892	
Westerhailes Park	EH14 3AG	2	55.9137886	-3.2783014	
Marchall Place	EH8 9BJ	15	55.9457401	-3.1866497	
Church Hill Place	EH10 4BD	10	55.9321571	-3.2094347	
Craigmount Loan	EH12 8DJ	3	55.9506819	-3.2991709	
Wolrige Road	EH16 6HX	16	55.9148725	-3.1637904	
Riselaw Crescent	EH10 6HN	10	55.9127749	-3.2112559	
Ferry Road Place	EH4 4AX	4	55.9683032	-3.2460188	
Comiston Drive	EH10 5QS	10	55.9202418	-3.2169675	
Alderbank Terrace	EH11 1SZ	9	55.9312623	-3.2323928	
Hillend Place	EH8 7AE	14	55.9548893	-3.1513231	
Swanston Village	EH10 7DT	8	55.887753	-3.217244	
Upper Dean Place	EH4 1NU	5	55.9559696	-3.211505	
Southfield Terrace	EH15 1RE	14	55.943412	-3.1290636	
Cavalry Park Drive	EH15 3QG	14	55.9411921	-3.1403515	
Echline Place	EH30 9XB	1	55.986966	-3.4127196	
West Bow	EH1 2LJ	11	55.9475383	-3.1962969	
Baird Avenue	EH12 5RU	6	55.9403003	-3.249547	
Balgreen Gardens 	EH12 5UG	6	55.9414003	-3.2583477	
South Steil	EH10 5XF	9	55.9169792	-3.2272856	
St Andrews Square	EH2 2LL	11	55.9542321	-3.1936847	
Boswell Place	EH5 3RE	4	55.97467	-3.21512	
Inglis Green Road	EH14 2EP	7	55.923988	-3.2525478	
Whins Place	EH15 1JQ	17	55.9543708	-3.1150314	
Dumbryden Drive	EH14 2AA	7	55.919876	-3.2726683	
Baberton Mains Wynd	EH14 5DU	2	55.9072958	-3.2859089	
Grays Court	EH1 1NL	11	55.9495048	-3.1849083	
Pilrig Gardens	EH6 5AZ	12	55.9669121	-3.1834533	
North Gyle Road	EH12 8ER	3	55.9435308	-3.3014894	
Peffer Place Industrial Estate	EH1 3EG	11	55.953252	-3.188267	
Vivian Terrace	EH4 5DZ	1	55.9649404	-3.2672782	
Forrester Road	EH12 8AE	6	55.9444782	-3.2847275	
Burdiehouse Street	EH17 8HA	16	55.8968439	-3.1562928	
Blinkbonny Grove West	EH4 3HJ	5	55.9551788	-3.2420393	
Kingsknowe Terrace	EH14 2JJ	2	55.9174013	-3.2621945	
Nicolson Street	EH8 9DE	15	55.9455566	-3.1846324	
Main Street	 Balerno	EH4 5BH	1	55.965584	-3.2690313
South Lauder Road	EH9 2LJ	15	55.9307846	-3.1820111	
Durham Drive	EH15 1PQ	17	55.943939	-3.1207926	
Pentland View	EH10 6PS	8	55.9080028	-3.212966	
Wester Drylaw Avenue	EH4 2UE	5	55.9636336	-3.2516393	
Main Street Ratho	EH28 8RB	2	55.9220141	-3.3791269	
Saughton Park	EH12 5TQ	6	55.9412729	-3.2533495	
Leamingston Terrace	EH10 4JL	10	55.9390276	-3.2078757	
Boswall Terrace	EH5 2EL	4	55.9741513	-3.2221914	
