Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
Fox Covert Grove,17/06/2008,12:50,B,3,1,1,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0
North Bughtlin Gate,17/06/2008,13:10,A,3,1,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Bughtlin Park,17/06/2008,13:17,B,2,1,1,1,4,3,1,0,0,1,0,1,0,1,0,0,0,0,0
Bughtlin Park,09/06/2008,12:55,C,3,3,1,1,4,3,1,0,0,1,1,1,1,1,1,1,0,1,1
Maybury Road,09/06/2008,13:30,B,4,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,1,0,1
Maybury Road,09/06/2008,13:45,B,4,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,1,0,1
Maybury Road,09/06/2008,14:00,B,4,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,0,0,1
Maybury Road,09/06/2008,14:15,B,4,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,0,0,1
Redheughs Avenue,09/06/2008,14:40,B,3,1,1,1,3,2,1,0,0,1,1,0,0,1,1,0,0,0,1
Barnton Avenue,09/06/2008,15:00,B,3,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Barnton Avenue,09/06/2008,15:10,B,3,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1
Avon Grove,09/06/2008,15:30,B,3,2,1,1,3,2,1,0,0,1,0,0,1,1,0,0,0,1,1
Barnton Park Wood,09/06/2008,15:45,B,3,2,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,1,1
Scotstoun Park,09/06/2008,16:10,B,3,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1
Parkgrove Row,18/06/2008,11:15,B,3,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,1
Carlton Street,24/06/2008,08:00,B,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Moray Place,24/06/2008,08:00,B,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Northumberland Street,24/06/2008,08:00,B,2,1,1,1,1,2,1,0,0,1,0,0,1,1,0,1,0,0,0
Forth Street,24/06/2008,08:10,B,2,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
St Ninians Row,24/06/2008,08:30,C,1,1,1,1,1,2,1,0,0,1,1,1,0,1,1,0,0,0,1
North Grays Close,24/06/2008,08:34,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Potterrow,24/06/2008,14:30,B,1,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Holyrood Park Road,24/06/2008,14:20,B,2,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Cluny Gardens,24/06/2008,14:50,B,3,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
St Davids Place,24/06/2008,15:05,B,2,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Torphichen Place,24/06/2008,15:10,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Bath Street Lane,24/06/2008,10:25,B,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Pittville Street Lane,24/06/2008,10:35,C,2,3,1,1,3,2,1,0,0,0,0,1,0,1,0,0,0,1,0
