141,Figgate Street,EH15 1JQ,11,55.9545187,-3.1152819
142,Grove Street,EH3 8FF,2,55.9445293,-3.2120024
143,Annandale Street Lane,EH7 4LS,12,55.96098,-3.1824581
144,Corstorphine Hill Avenue,EH12 6LF,15,55.9463785,-3.2767827
145,Coben Road,EH9 2BJ,17,55.9324681,-3.1709715
146,Bruntsfield Place,EH10 4HG,3,55.9376375,-3.2061149
147,Brunstane Crescent,EH15 2NX,11,55.9440469,-3.0921491
148,Richmond Place,EH8 9ST,17,55.9464663,-3.1833126
149,Moredun Park Court,EH17 7EY,16,55.9129876,-3.1396709
150,Foulis Crescent ,EH14 5BN,10,55.9063908,-3.2802562
151,Woodhall Drive,EH14 5BT,10,55.9045517,-3.2846968
152,Clarebank Crescent,EH6 7NJ,8,55.968258,-3.1567154
153,Haughhead Farm,EH1 3EG,6,55.953252,-3.188267
154,Echline Gardens,EH30 9UT,14,55.9874239,-3.4145654
155,North Street Ratho,EH28 8RR,10,55.9215719,-3.3842281
156,Maxwell Street,EH10 5HU,3,55.9261476,-3.2119207
157,Campbell Park Drive,EH13 0HS,5,55.9031289,-3.2711748
158,Cleikiminrig,EH15 3QZ,11,55.9327371,-3.1099153
159,Spa Place,EH15 1TR,11,55.9553703,-3.114449
160,Bingham Avenue,EH15 3JB,11,55.9398464,-3.1223339
161,Hillview Road,EH12 8QF,15,55.9475673,-3.2879445
162,Beresford Place,EH5 3SL,7,55.975353,-3.2037314
163,Kirk Cramond,EH4 6NS,14,55.9781653,-3.2995667
164,Craigleith Hill,EH4 2EG,4,55.9568962,-3.2384128
165,Western Terrace,EH12 5QD,15,55.9447673,-3.2482319
166,Scotstoun Green Sq Ferry,EH1 3EG,6,55.953252,-3.188267
167,Moredun Dykes Road,EH17 8PT,16,55.9059501,-3.1380525
168,Wardie House Lane,EH5 3RL,7,55.9795937,-3.213892
169,Westerhailes Park,EH14 3AG,10,55.9137886,-3.2783014
170,Marchall Place,EH8 9BJ,17,55.9457401,-3.1866497
171,Church Hill Place,EH10 4BD,3,55.9321571,-3.2094347
172,Craigmount Loan,EH12 8DJ,9,55.9506819,-3.2991709
173,Wolrige Road,EH16 6HX,16,55.9148725,-3.1637904
174,Riselaw Crescent,EH10 6HN,3,55.9127749,-3.2112559
175,Ferry Road Place,EH4 4AX,7,55.9683032,-3.2460188
176,Comiston Drive,EH10 5QS,3,55.9202418,-3.2169675
177,Alderbank Terrace,EH11 1SZ,2,55.9312623,-3.2323928
178,Hillend Place,EH8 7AE,1,55.9548893,-3.1513231
179,Swanston Village,EH10 7DT,5,55.887753,-3.217244
180,Upper Dean Place,EH4 1NU,4,55.9559696,-3.211505
181,Southfield Terrace,EH15 1RE,1,55.943412,-3.1290636
182,Cavalry Park Drive,EH15 3QG,1,55.9411921,-3.1403515
183,Echline Place,EH30 9XB,14,55.986966,-3.4127196
184,West Bow,EH1 2LJ,6,55.9475383,-3.1962969
185,Baird Avenue,EH12 5RU,15,55.9403003,-3.249547
186,Balgreen Gardens ,EH12 5UG,15,55.9414003,-3.2583477
187,South Steil,EH10 5XF,2,55.9169792,-3.2272856
188,St Andrews Square,EH2 2LL,6,55.9542321,-3.1936847
189,Boswell Place,EH5 3RE,7,55.97467,-3.21512
190,Inglis Green Road,EH14 2EP,13,55.923988,-3.2525478
191,Whins Place,EH15 1JQ,11,55.9543708,-3.1150314
192,Dumbryden Drive,EH14 2AA,13,55.919876,-3.2726683
193,Baberton Mains Wynd,EH14 5DU,10,55.9072958,-3.2859089
194,Grays Court,EH1 1NL,6,55.9495048,-3.1849083
195,Pilrig Gardens,EH6 5AZ,12,55.9669121,-3.1834533
196,North Gyle Road,EH12 8ER,9,55.9435308,-3.3014894
197,Peffer Place Industrial Estate,EH1 3EG,6,55.953252,-3.188267
198,Vivian Terrace,EH4 5DZ,14,55.9649404,-3.2672782
