Russell Road
Redford Place
Templeand Grove
Ferniehill Path
Craigleithhill Green
Dunollie Court
Old Dalkeith Road
Upper Grove Place
Bath Road
Stenhouse Crescent
Builyeon Road
Juniper Grove
Greenhill Terrace
North Bughtlin Place
North Bughtlinfield
Bramdean Grove
Cathedral Lane
Nelson Street
Bellfield Street
Hope Lane
Clarinda Terrace
Violet Terrace
Industry Lane
Canning Street
Westland Cottages
Hamilton Drive
Woodhall Avenue
Allanpark Drive 
Ravenswood Avenue 
Grierson Crescent
Mortonhall Park Bank
Saughton Mains Drive
Spiers Place
Argyle Street
Pattison Street
Easter Drylaw
Craighill Gardens
Queen Anne Drive
Stanhope Place
Milnacre
Gayfield Square
Groathill Avenue 
Bellevue Street
Abercorn Road
Elmwood Terrace
Canaan Lane
St Catherines Pl
Oxgangs Medway
Belgrave Crescent 
Almondhill Road
Stenhouse Mill Wynd
Baxters Place
Nether Craigour
Bonnington Road Lane
Brighouse Park Drive
Ravelston Place
Bonaly Avenue
The Glebe
Easter Road
North West Circus Place
Sciennes House Place
Carnbee Park
Pembroke Place
Kirkgate
John Street Lane East
Summerhall
Douglas Terrace
Easter Drylaw Grove
Harvest Road
Carnegie Court
Avon Grove
Spittal Street Lane
Stanhope Street
Dock Place, Leith
Sunbury Street
Mayfield Road
Claremont Crescent
Peffermill Road
Whitehouse Close
Blacket Place
Craigmillar Park
Potterrow
Mortonhall Park Gardens
Saughton Mains G
Gibson Terrace
Fairview Road
Corbiehill Terrace
Oakville Terrace
Craigmount Way
Upper Gilmore Place
Broomlea Crescent
Clayhills Grove
Path Between 19 & 20 North Bughtlin Gate
Teviot Place
Villa Road Sq Ferry
Inchkeith Avenue
Bughtlin Gardens
Elliot Park
Grassmarket
Park Gardens
Bleachfield 
Inchgarvie Park
Boswall Crescent
Toddshill Road
Marionville Avenue
Bellevue Crescent
Broomhouse Terrace
Dean Path Buildings
Leith Links
Fox Covert Grove
Colinton Mains Gardens
West Pilton Crescent
Cramond Park
Sommerville Gardens, South Queensferry
Bavelaw Road
Broompark Road
Sighthill Rise
Alnwickhill Court
Salveson Grove
Breadalbane Terr
Westbank Street
Richmond Lane
Forrester Park Drive
Mortonhall Road
Atheling Grove, South Queensferry
Barnton Park Place
Dundas Mains S.Queensferry
Stevenson Street
Glen Street
Cowgate
Coalhill
Rosebery Crescent Lane
Montgomery Street
Blackbarony Road
Moredunvale Way
Duddingston Grove East
Paisley Crescent
New Arthur Place
Morningside Place
Ashburnham Gardens
Elizafield
Fettes Rise
Burdiehouse Square
Sighthill Park
Gosford Place
Grierson Avenue
Morven Street
Duke Street
Dryden Gardens
East Fettes Avenue
Carfae Park
Niddriemill Avenue
Drumbrae Crescent
Redheughs Avenue
Lewis Terrace
Crewe Terrace
Spylaw Bank Road
Grant Avenue
Viewfield Road
Almond Road
Carrubers Close
Cockburnhill Road
Ardmillan Terrace Lane
Gamekeepers Road
Bughtlin Green
Finlaggan Court
Bonnington Grove
Queensferry Road/Dean Bridge
Strathern Road
Rose Park
Hillpark Gardens 
Afton Place
Holyrood Park Road
Double Hedges Road
Brunswick Road
Sauchiebank
Shandon Terrace
Southfield Place
Kings Haugh
Victoria Street And Steps
Lussielaw Road
Bankhead Terrace
Carnbee Crecent
East Kilngate Rigg
New Cut Rigg
Pirniefield Bank
Craigour Drive
Baberton Mains Avenue
Balmwell Terrace
Marshall Street
Bangholm Avenue
Rosefield Place
Glebe Terrace
Wester Coates Terrace
Sandport Street
Dolphin Avenue
Chariot Drive, Newbridge
Randolph Crescent
Hutchison Crossway
Milton Street
Merchiston Place
Arrol Place
Bellfield Lane
Hawkhead Grove
Paisley Grove
Granton Terrace
Trotters Haugh
Torphichen Place
Moredunvale Loan
Annandale Street
Silverknowes Green
Harlaw Road
West Silvermills Lane
Magdalene Drive
Colinton Mains Grove
Piershill Square East
Bedford Court
Stair Park
Builyeon Road, South Queensferry
Marchbank Place
Tytler Court
Livingstone Place
Baberton Mains Lea
Ravelrig Road
Calderview
Agnew Terrace 
Baird Road, Ratho
Stenhouse Cottages
Bankhead Broadway
Orchard Place
Additson Farm Road
Red Gaunlet Terr
Drum Cottages
Wisp Green
Hillview Drive 
Caiystane Hill
Redhall Grove
The Wisp
South Ettrick Road
Rankin Avenue 
South Gillsland Road
Haymarket Yards
Captain'S Road
Randolph Place
Gote Lane
Eastfield Road
Duddingston Square West
Pittville Street Lane
March Road
Willowbrae Avenue
Beresford Terrace
Broughton Street Lane
Granby Road
Joppa Park
East Clapperfield
Loch Road, South Queensferry
High Street
East Claremont Street
Hillpark Terrace
Dolphin Road
Hillview Crescent
Howdenhall Crescent
South Gyle Gardens
Murrayfield Gardens
Savile Terrace
Dudley Grove
Brighouse Park Rigg
Fernieside Crescent
Saunders Street
Bernard Street
Roseburn Avenue
Springvalley Terr
Drum Terrace
Cameron Toll Gardens
Learmonth Avenue South
Barnton Avenue
Gracemount Place
Craigleigh Avenue North
Doublehedges Road
Great Junction Street
Wardieburn Place North
Gilberstoun Place
Bankhead Medway
Kirk Street
High School Yards
Claremont Terrace
Orchard Brae Gardens
Hugh Russell Place, South Queensferry
Dean Street
Forres Street
High Street South Queensferry
Grierson Gardens
Plewlands Croft
Bulls Close
Douglas Gardens
Lynedoch Place
Glendevon Park
Muir Wood Crescent
Hermitage Gardens
Stevenson Drive
Craiglea Place
Grindlay Street
Laichpark Road
Stewart Place
Saltire Street 
Agnew Terrace
Lovers Lane, South Queensferry
Sighthill Grove
John Mason Court, South Queensferry
Laverockbank Gdns
Elidon Terrace
Kings Place
Saughton Mains Street
Swanston Road
India Place
Redford Court
Broomhouse Square
Gillsland Park
Cables Wynd
Pitsligo Road
St College Street
Loganlea Place
Willowbrae Gardens 
Grange Terrace
Curriehill Castle Drive
Silvermills
Summerside Street
Claremont Road
Gilmerton Dykes Grove
Magdalene Loan
Orchard Brae West
Boswell Crescent
Halmyre Street
Moredun Vale Park
Craigleith Drive
Path Brae
West Pilton Bank
Murrayburn Green
Braehead Loan
Boswell Square 
Beechmont Crescent
North Lawn Terrace
Cherry Tree Place
Stoneycroft Road
Tanfield
Bangholm Loan
Redford Loan
Braid Mount Crest
Boswall Quadrant
Argyle Park Terrace
Ponton Street
Inverleith Grove
Howdenhall Drive
Spey Street
Ventor Terrace
Hanover Street
Cluny Avenue
Polwarth Grove
Corstorphine Road
Cameron Toll Lade
Parkgrove Row
Hillcoat Place
Mertoun Place
Saughtonhall Terrace
Kinghorn Place
Spey Terrace
Henderland Road
Keir Street
Brand Drive
Belgrave Crescent
Sinclair Close
Jamica Mews
Gyle Avenue
Barnton Park Dell
Shaftesbury Park
Denham Green Place 
Wardieburn Road
Cairns Drive
Essex Brae
Gillespie Crescent
Lochside Place
Eltringham Grove
Torphichen Street
Abercorn Grove
Wheatfield Terrace
Seafield Road East
Learmonth Gardens
Tynecastle Terrace
Baileyfield Crescent
Craigour Terrace
Craigentinny Place
Merchiston Mews
Walker Street
Carrick Knowe Hill
Roseburn Place
Burns Place 
Belford Gardens
Queensferry Terrace
Wester Broom Terrace
Midmar Drive 
Pentland Terrace 
Leamington Place
Balmwell Avenue
Craigcrook Park
Fauldburn
Blink Bonny Road
Bonnington Road
Firhill Drive
Kirkliston Road
Boswall Parkway
Salveson Crescent
Cowgate, Front Of Sherriff Court
Constitution Place
Hatton Place
Pirniefield Place
Broomhall Bank
Burgess Street
Mortonhall Park View
Silverknowes Midway
Melville Drive
College Wynd
Greenmantle Loan
Shandwick Place
Kirk Crammond
Wester Coates Gardens
Nether Currie Crescent
Wardie Steps
Ballantyne Road
Bowling Green Road
Corslet Terrace
Cowan Road
Salamander Yards
Trinity Road
Bleachfield
Constitution Street - Car Park Entrance
Murrayburn Drive
Dalmahoy Road
Dumbiedykes Road
Carrick Knowe Place
Little Road
Old Church Lane
Gillespie Road
Drumbrae Park
Brand Place
Harlaw March
Barton Park
Magdeline Court
Barclay Place
Broomhouse Road
Allan Street
Bellevue Lane
Bath Street
Craigpark Crescent
Plewlands Crescent
Zetland Place
West Powerburn
Ravelston Dykes Road
Relugas Road
North Junction Street
Barony Terrace
Alvanley Terrace
Meadow Lane
Craigs Crescent - Craigs Bank - Path
Moredunvale Place
Notrh Hillhousefield
Bath Street Lane
Laverockbank Gardens
Colliesdene Terrace
Forth Street
Hutchison Park
Steel'S Place
Magdalene Gardens
Curriehill Road
Beadalbane Street
Baberton Mains Way
Wolseley Terrace
Whitehall Road
White Park
Upper Cramond Court
Viewforth
Duncan Place
